doi,title,author,affiliations,abstract,keywords,journal,year,month,type,language,categories
10.1038/s41598-021-02790-2,BioCPPNet: automatic bioacoustic source separation with deep neural networks,"Bermant,PeterC.",,"We introduce the Bioacoustic Cocktail Party Problem Network (BioCPPNet), a lightweight, modular, and robust U-Net-based machine learning architecture optimized for bioacoustic source separation across diverse biological taxa. Employing learnable or handcrafted encoders, BioCPPNet operates directly on the raw acoustic mixture waveform containing overlapping vocalizations and separates the input waveform into estimates corresponding to the sources in the mixture. Predictions are compared to the reference ground truth waveforms by searching over the space of (output, target) source order permutations, and we train using an objective function motivated by perceptual audio quality. We apply BioCPPNet to several species with unique vocal behavior, including macaques, bottlenose dolphins, and Egyptian fruit bats, and we evaluate reconstruction quality of separated waveforms using the scale-invariant signal-to-distortion ratio (SI-SDR) and downstream identity classification accuracy. We consider mixtures with two or three concurrent conspecific vocalizers, and we examine separation performance in open and closed speaker scenarios. To our knowledge, this paper redefines the state-of-the-art in end-to-end single-channel bioacoustic source separation in a permutation-invariant regime across a heterogeneous set of non-human species. This study serves as a major step toward the deployment of bioacoustic source separation systems for processing substantial volumes of previously unusable data containing overlapping bioacoustic signals.",,SCIENTIFIC REPORTS,2021,DEC 6,Article,English,Multidisciplinary Sciences
10.1016/j.camwa.2006.03.037,Detectability of breast lesions with CARI ultrasonography using a bioacoustic computational approach,"Bounaim,A.;Holm,S.;Chen,Wen;Odegard,A.",University of Oslo;Chinese Academy of Sciences;Institute of Applied Physics \& Computational Mathematics - China,"Compared to other medical breast imaging techniques, ultrasonic imaging is more attractive due to its relatively low cost and wide clinical use. This study is concerned with clinical amplitude/velocity reconstruction imaging (CARI) ultrasonography for accurately detecting breast cancer using two acoustic properties: the sound speed and the attenuation. Bioacoustic modeling is used to describe ultrasound wave propagation in the breast/tumor system. The feasibility and the sensitivity of the CARI device are investigated using a finite-element time-domain approximation in tissue-mimicking breast. 2D and 3D simulation experiments show the delectability of small ellipse/ellipsoid-shaped tumors in terms of the increase in the sound speed in the tumor region. Our study confirms also that the FETD (finite-element time domain) method is a simple but robust tool to simulate the CARI device and other included clinical effects, such as focusing and scanning of the beams. ",breast cancer;CARI technique;ultrasound time-domain wave propagation;bioacoustic modeling;finite-element time-domain method;detectability of lesions,COMPUTERS \& MATHEMATICS WITH APPLICATIONS,2007,JUL,Article,English,"Mathematics, Applied"
10.3897/BDJ.8.e54222,Standardisation of bioacoustic terminology for insects,"Baker,Edward;Chesmore,David",University of York - UK,"After reviewing the published literature on sound production in insects, a standardised terminology and controlled vocabularies have been created. This combined terminology has potential for use in automated identification systems, evolutionary studies, and other use cases where the synthesis of bioacoustic traits from the literature is required. An example implementation has been developed for the BioAcoustica platform. It is hoped that future development of controlled vocabularies will become a community effort.",insect;sound production;vocabulary;bioacoustics,BIODIVERSITY DATA JOURNAL,2020,AUG 4,Article,English,Biodiversity Conservation
10.1121/1.2932070,Perceptually motivated wavelet packet transform for bioacoustic signal enhancement,"Ren,Yao;Johnson,MichaelT.;Tao,Jidong",Marquette University,"A significant and often unavoidable problem in bioacoustic signal processing is the presence of background noise due to an adverse recording environment. This paper proposes a new bioacoustic signal enhancement technique which can be used on a wide range of species. The technique is based on a perceptually scaled wavelet packet decomposition using a species-specific Greenwood scale function. Spectral estimation techniques, similar to those used for human speech enhancement, are used for estimation of clean signal wavelet coefficients under an additive noise model. The new approach is compared to several other techniques, including basic bandpass filtering as well as classical speech enhancement methods such as spectral subtraction, Wiener filtering, and Ephraim-Malah filtering. Vocalizations recorded from several species are used for evaluation, including the ortolan bunting (Emberiza hortulana), rhesus monkey (Macaca mulatta), and humpback whale (Megaptera novaeanglia), with both additive white Gaussian noise and environment recording noise added across a range of signal-to-noise ratios (SNRs). Results, measured by both SNR and segmental SNR of the enhanced wave forms, indicate that the proposed method outperforms other approaches for a wide range of noise conditions. (c) 2008 Acoustical Society of America.",,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,2008,JUL,Article,English,Acoustics;Audiology \& Speech-Language Pathology
10.2478/s11756-018-0077-7,Taxonomic survey of water frog populations of Pelophylax bedriagae (Anura: Ranidae) in western Iran: a morphometric and bioacoustic approach,"Pesarakloo,Alireza;Najibzadeh,Masoumeh;Rastegar-Pouyani,Nasrullah;Rastegar-Pouyani,Esk;ar",Arak University;Razi University,"We explored the population systems of Pelophylax bedriagae (Camerano, 1882) in northwestern, western and southwestern Iran. Statistical significance for a hypothesis of sexual dimorphism of the frogs was tested using t-test and multivariate analysis of variances (MANOVA). Due to lack of sexual differences between the male and female frogs, the data of both sexes were pooled for further analysis. Taxonomic relationships among local populations were investigated using discriminate analysis (by stepwise method) with iterative sample assignment. The multivariate morphometric analyses revealed that the range of P. bedriagae extends to western Iran. The next step was to analyze the advertisement call (five standard parameters: call duration, number of pulse groups per call, duration of pulse groups, interval between pulse groups, and intercall interval) of the water frogs inhabiting three sites in western Iran. Rigorous application of the bioacoustic method removes all doubt that these three sites are inhabited by the same species, which on the basis of priority of nomenclature should be called P. bedriagae.",Water frog;Levant frog;Morphometric and bioacoustic analysis;Distribution range,BIOLOGIA,2018,JUL,Article,English,Biology
10.1007/BF02702996,BIOACOUSTIC ANALYSIS OF FROG CALLS FROM NORTHEAST INDIA,"ROY,D;ELEPFANDT,A",University of Konstanz,"Mating calls of three frog species abundant in northeast India Rana tigerina, Rana cyanophlyctis and Rana limnocharis were recorded in the fields of Assam and Meghalaya during their breeding season (July-August, 1991). The calls were analysed for their temporal and spectral characters. They were species specific, with distinct call duration and call period, number of pulses per call and interpulse interval, and dominant frequency and frequency domain. A comparison of the mating calls of Rana cyanophlyctis with those of the sibling Rana ehrenbergi from Yemen showed differences in their temporal and spectral characters, supporting the suggestion that these two species are distinct species, rather than subspecies of the same species. Differences in the temporal and spectral pattern were found in the mating calls of morphologically alike specimens of Rana limnocharis, indicating that the present morphotype Rana limnocharis in northeast India is composed of several species.",INDIAN FROGS;FROG CALL;BIOACOUSTIC ANALYSIS;TAXONOMY,JOURNAL OF BIOSCIENCES,1993,SEP,Article,English,Biology
10.1166/jmihi.2015.1528,Development of Microphone System for Low Cost Bioacoustic Device,"Razali,M.H.M.;Mamduh,S.M.;Kamarudin,K.;Zakaria,A.;Rahim,N.A.;Kamarudin,L.M.;Azmi,N.;Shakaff,A.Y.M.;Saad,F.S.A.;Shukor,S.A.A.",Universiti Malaysia Perlis,"The development of Bioacoustics device has been on the rise due to their apparent benefit as it has been proved to solve many problems such as recognizing animal vocalization and estimating the population of an animal in the forest. However, the commercial bioacoustics device always known as an expensive and complicated system in recent market. This paper presents the work of development of input sensor parts as the important element in the Bioacoustics device development. In order to make the complete sensor system, the pre-amplifier circuit is combined with electret condenser microphone (ecm). This pre-amplifier circuit is able to amplify the low-power audio signals to a level which is suitable for the system. These pre-amplifier is interfaced to the Arduino board which is used to read and process the input data.",Bioacoustic;Pre-Amplifier;Arduino;Microphone,JOURNAL OF MEDICAL IMAGING AND HEALTH INFORMATICS,2015,OCT,Article; Proceedings Paper,English,"Mathematical \& Computational Biology;Radiology, Nuclear Medicine \& Medical Imaging"
10.1016/j.compbiomed.2022.105491,Bioacoustic signal analysis through complex network features,"Raj,Vimal;Swapna,M.S.;Sankararaman,S.",University of Kerala,"The paper proposes a graph-theoretical approach to auscultation, bringing out the potential of graph features in classifying the bioacoustics signals. The complex network analysis of the bioacoustics signals -vesicular (VE) and bronchial (BR) breath sound -of 48 healthy persons are carried out for understanding the airflow dynamics during respiration. The VE and BR are classified by the machine learning techniques extracting the graph features - the number of edges (E), graph density (D), transitivity (T), degree centrality (D-cg) and eigenvector centrality (E-cg). The higher value of E, D, and T in BR indicates the temporally correlated airflow through the wider tracheobronchial tract resulting in sustained high-intense low-frequencies. The frequency spread and high-frequencies in VE, arising due to the less correlated airflow through the narrow segmental bronchi and lobar, appears as a lower value for E, D, and T. The lower values of D-cg and E-cg justify the inferences from the spectral and other graph parameters. The study proposes a methodology in remote auscultation that can be employed in the current scenario of COVID-19.",Bioacoustic signal;Graph theory;Complex network;Lung auscultation,COMPUTERS IN BIOLOGY AND MEDICINE,2022,JUN,Article,English,"Biology;Computer Science, Interdisciplinary Applications;Engineering, Biomedical;Mathematical \& Computational Biology"
10.1111/2041-210X.12688,MatlabHTK: a simple interface for bioacoustic analyses using hidden Markov models,"Ranjard,Louis;Reed,BenjaminS.;L;ers,ToddJ.;Rayner,MattJ.;Friesen,MeganR.;Sagar,RachelL.;Dunphy,BrendonJ.",Australian National University;University of Auckland,"1. Passive bioacoustic recording devices are now widely available and able to continuously record remotely located sites for extended periods, offering great potential for wildlife monitoring and management. Analysis of the huge data sets generated, in particular for specific biotic sound recognition, remains a critical bottleneck for widespread adoption of these technologies as current methods are labour intensive. 2. Several methods borrowed from speech processing frameworks, such as hidden Markov models, have been successful in analysing bioacoustic data, but the software implementations can be expensive and difficult to use for non-specialists involved in wildlife conservation. To remedy this, we present a software interface to a popular speech recognition systemmaking it possible for non-experts to implement hiddenMarkovmodels for bioacoustic signal processing. Octave/Matlab functions are used to simplify the set-up and the definition of a bioacoustic signal recogniser as well as the analysis of the results. 3. We present the different functions as a workflow. To demonstrate how the package can be used, we give the results of an analysis of a bioacoustic monitoring data set to detect the nocturnal presence and behaviour of a cryptic seabird species, the common diving petrel Pelecanoides urinatrix urinatrix, fromNorthernNew Zealand. 4. We show that the package MatlabHTK can be used efficiently to reconstruct the daily patterns of colony activity in the common diving petrel.",bioacoustics;hidden Markov model;monitoring;seabird,METHODS IN ECOLOGY AND EVOLUTION,2017,MAY,Article,English,Ecology
10.1016/j.eswa.2013.03.028,A heterogeneous framework for real-time decoding of bioacoustic signals: Applications to assistive interfaces and prosthesis control,"Mace,Michael;Abdullah-al-Mamun,Khondaker;Naeem,AliAzzam;Gupta,Lalit;Wang,Shouyan;Vaidyanathan,Ravi","Imperial College London;University of Toronto;Southern Illinois University System;Southern Illinois University;Chinese Academy of Sciences;Suzhou Institute of Biomedical Engineering \& Technology, CAS;University of Southampton;United States Department of Defense;United States Navy;Naval Postgraduate School","Tongue-movement ear pressure (TMEP) signals provide an unobtrusive, completely non-invasive, wearable and assistive human-machine interface (HMI). The HMI concept is based on monitoring volitional bioacoustic activity generated through prescribed tongue motions. In this paper, a heterogeneous decoding framework is presented, enabling effective real-time polychotomous classification between the various tongue actions and dichotomous discrimination of unintended bioacoustic activity from the volitional signals. Using this customised framework and developed software, the real-time performance was evaluated for both three (six subjects) and four action (four subjects) discrimination, using healthy subjects. Ignoring false negative rejections, the system achieved sensitivities of >90\% for three-action discrimination and >80\% for four action discrimination, across all tested subjects. The interference rejection (IR) capabilities of the framework were also fully demonstrated, using challenging offline data sets. This included a subset of low frequency interference signals with similar temporal characteristics and frequency distributions as the volitional tongue activity. The IR subsystem achieved an average specificity of 76.2\% during three-action discrimination and 79.9\% during four-action discrimination. To highlight the potential of the system for substituting or augmenting existing assistive interfaces, a case study is presented demonstrating the utility of TMEP signals for hand prosthesis control. Full tongue control was evaluated against three alternative control strategies, namely natural human-hand manipulation, proportional-based control and a hybrid strategy, when performing an everyday object manipulation task. In all cases, the task was completed with the hybrid strategy performing comparably and even outperforming the proportional-based control strategy. ",Human-machine interfaces;Tongue-movement ear pressure signals;Volitional bioacoustic activity;Pattern classification;Heterogeneous ensembles;Prosthetic hand control,EXPERT SYSTEMS WITH APPLICATIONS,2013,OCT 1,Article,English,"Computer Science, Artificial Intelligence;Engineering, Electrical \& Electronic;Operations Research \& Management Science"
10.3996/102019-JFWM-083,Bioacoustic Monitoring Reveals Details of Tricolored Blackbird Breeding Phenology,"Schackwitz,Wendy;Airola,DanielA.;Greene,Alex;Schackwitz,Michael;Woodruff,Julie",,"Bioacoustic monitoring has been used to study behaviors of organisms from insects to whales. Studies using multiple vocalizations of a single species have the potential to determine detailed phenology, but to date they are rare. We tested whether bioacoustic monitoring of multiple gender- and age-specific vocalizations of the imperiled tricolored blackbird Agelaius tricolor could provide detailed information on reproductive phenology and breeding success. Using inexpensive cell phones and free software applications, we collected audio recordings of tricolored blackbird colonies during their breeding season. Adding solar panels enabled the stations to run autonomously, and use of cellular data enabled remote uploading of recordings. Analysis of the presence or absence of three vocalizations-male song, female song, and nestling call-provided a rich and detailed description of the breeding phenology including the dates for courtship; onset of nest building, incubation, and nestling hatching; and fledgling departure from nesting colonies. The resulting detail was more granular and accurate than comparable data from field monitoring, although field monitoring provides data such as abundance counts that bioacoustic monitoring does not. This information has a wide range of applications to research and conservation, from enabling more accurate abundance estimates, to assessing colony success or failure with fewer visits, to providing stronger guidance for when a colony must be protected from disruption.",tricolored;blackbird;bioacoustics;phenology,JOURNAL OF FISH AND WILDLIFE MANAGEMENT,2020,DEC,Article,English,Biodiversity Conservation;Ecology
10.1051/alr:2008002,Use of an implanted sound recording device (Bioacoustic Probe) to document the acoustic environment of a blacktip reef shark (Carcharhinus melanopterus),"Meyer,CarlG.;Burgess,WilliamC.;Papastamatiou,YannisP.;Holl;,KimN.",University of Hawaii System;University of Hawaii Manoa;University of Hawaii System;University of Hawaii Manoa,"Gaps in our knowledge of basic fish ecology have provided impetus for development of novel ``ecology tags{''} to detect and quantify hard to observe behaviors such as spawning, schooling and feeding. The acoustic environment is one source of potentially useful information about these behaviors. We implanted an acoustic recording tag (Bioacoustic Probe) into the gut cavity of a blacktip reef shark to determine whether an implanted tag could successfully record external and internal sounds. The tag successfully recorded reef fish vocalizations, boat engine noise, the sound of the shark feeding and unidentified rhythmic sounds that may derive from shark tail beats. Technical challenges remain, but sound recording tags have the potential to provide novel insights into shark and fish ecology.",bioacoustic probe;hydrophone tags;ecology tags;internal tags;implanted tags;acoustic monitoring;shark ecology,AQUATIC LIVING RESOURCES,2007,OCT-DEC,Article,English,Fisheries;Marine \& Freshwater Biology
